ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2013-03-01,cuevas de almanzora,almeria,80.1,164.3,161.3,33.88,-0.06,-0.64,22.95,21.01,21.4,6.78,
2013-03-01,charco redondo,cadiz,697.3,826.5,81.6,53.0,0.08,2.17,1.61,64.95,62.29,62.98,
2013-03-01,guadarranque,cadiz,664.7,712.7,87.7,75.38,0.21,4.24,4.21,85.95,81.12,81.15,
2013-03-01,beznar,granada,307.3,305.0,52.9,46.37,0.01,-0.28,-0.28,87.65,88.19,88.19,
2013-03-01,rules,granada,246.9,356.8,110.8,98.72,0.05,0.39,10.93,89.1,88.75,79.23,
2013-03-01,conde de guadalhorce,malaga,511.5,334.8,66.5,61.1,-1.22,-2.52,15.58,91.87,95.67,68.45,
2013-03-01,el limonero,malaga,462.4,359.7,24.7,10.65,0.23,-0.58,-1.56,43.13,45.47,49.43,
2013-03-01,casasola,malaga,490.9,346.9,23.45,14.08,0.33,1.15,-1.61,60.04,55.14,66.91,
2013-03-01,guadalteba,malaga,462.1,326.8,153.3,148.96,1.34,2.44,17.25,97.17,95.58,85.92,
2013-03-01,guadalhorce,malaga,462.1,323.3,125.7,121.88,1.4,2.33,7.3,96.96,95.1,91.15,
2013-03-01,la concepcion,malaga,558.2,598.7,61.9,56.27,-0.93,-0.5,5.28,90.9,91.71,82.37,
2013-03-01,la vinnuela,malaga,454.1,438.0,165.4,153.81,0.55,2.97,9.37,92.99,91.2,87.33,
2013-03-01,andevalo,huelva,225.8,504.4,634.4,467.83,0.18,2.29,-74.21,73.74,73.38,85.44,
2013-03-01,chanza,huelva,87.5,373.7,341.4,215.55,0.13,6.11,-4.48,63.14,61.35,64.45,
2013-03-01,corumbel bajo,huelva,382.0,467.7,18.0,10.95,0.01,1.06,-2.33,60.84,54.94,73.78,
2013-03-01,jarrama,huelva,509.5,579.6,42.6,41.78,0.2,-0.98,4.93,98.08,100.38,86.5,
2013-03-01,los machos,huelva,462.5,435.0,12.0,10.2,0.02,0.06,2.82,84.98,84.5,61.5,
2013-03-01,piedras,huelva,462.5,425.4,59.5,42.21,0.0,0.6,-1.08,70.94,69.93,72.76,
2013-04-01,arcos,cadiz,735.9,496.5,14.6,13.35,-0.06,0.17,0.17,91.46,90.27,90.27,
2013-04-01,almodovar,cadiz,988.4,1007.5,5.7,4.91,-0.13,-0.05,1.88,86.18,87.02,53.16,
2013-04-01,barbate,cadiz,903.0,869.2,228.1,221.88,1.79,3.58,55.07,97.27,95.7,73.13,
2013-04-01,bornos,cadiz,721.8,485.0,200.2,180.03,-2.03,2.01,41.9,89.92,88.92,69.0,
2013-04-01,celemin,cadiz,765.4,836.4,44.8,42.73,0.98,2.43,16.76,95.37,89.96,57.97,
2013-04-01,guadalcacin,cadiz,702.5,760.7,800.3,776.81,4.51,10.43,147.17,97.06,95.76,78.68,
