ds,reservoir,province,rainfallsince,avgrainfall1971_2000,capacity_hm3,stored_hm3,variation24h_hm3,weekchange,yearchange,fillingpcttoday,weekago,yearago,avgreserve5yrs_hm3
2023-12-14,guadalteba,malaga,47.6,175.2,153.3,36.62,-0.13,-0.69,-48.18,23.89,24.34,55.32,108.1
2023-12-14,la concepcion,malaga,42.5,307.7,61.9,14.02,-0.06,-0.29,-17.91,22.65,23.12,51.58,34.65
2023-12-14,la vinnuela,malaga,48.8,234.3,165.4,12.48,-0.01,0.02,-3.46,7.55,7.53,9.64,42.63
2023-12-14,cala,sevilla,208.0,276.4,58.8,28.77,0.0,0.14,1.94,48.93,48.69,45.63,19.67
2023-12-14,el agrio,sevilla,197.4,247.8,20.3,10.01,0.01,0.17,-2.79,49.31,48.47,63.05,10.64
2023-12-14,el pintado,sevilla,230.8,265.3,212.8,42.18,0.03,0.44,-12.75,19.82,19.61,25.81,111.45
2023-12-14,gergal,sevilla,179.8,225.1,35.0,17.85,-0.03,0.12,-3.68,51.0,50.66,61.51,27.01
2023-12-14,huesna,sevilla,228.3,242.4,134.6,45.22,-0.02,-0.14,-14.01,33.6,33.7,44.0,75.48
2023-12-14,jose toran,sevilla,216.6,262.8,113.2,17.13,0.0,0.07,-0.53,15.13,15.07,15.6,33.28
2023-12-14,la minilla,sevilla,237.1,268.8,57.8,30.63,-0.02,-0.02,-13.61,52.99,53.03,76.54,44.03
2023-12-14,melonares,sevilla,194.9,247.0,185.6,82.3,-0.17,-1.05,-36.67,44.34,44.91,64.1,145.19
2023-12-14,puebla de cazalla,sevilla,122.8,188.0,73.7,0.1,0.0,0.0,-2.08,0.14,0.14,2.96,17.71
2023-12-14,torre del aguila,sevilla,123.6,202.3,64.4,1.82,-0.01,-0.1,-5.44,2.83,2.98,11.27,12.31
2023-12-15,beninar,almeria,33.8,186.0,61.68,4.91,0.0,-0.02,-3.75,7.96,7.99,14.04,7.89
2023-12-15,cuevas de almanzora,almeria,6.4,92.9,161.3,17.36,-0.06,-0.42,-9.56,10.76,11.02,16.69,17.76
2023-12-15,almodovar,cadiz,138.6,462.6,5.7,2.25,-0.01,-0.03,-1.53,39.47,40.0,66.32,2.7
2023-12-15,arcos,cadiz,136.2,233.3,14.6,12.12,-0.03,-0.05,-1.35,83.01,83.36,92.26,13.27
2023-12-15,barbate,cadiz,107.2,383.5,228.1,20.66,0.0,0.0,-18.28,9.06,9.06,17.07,72.48
2023-12-15,bornos,cadiz,130.8,231.7,200.2,19.18,0.05,0.22,-26.95,9.58,9.47,23.04,59.37
2023-12-15,celemin,cadiz,109.4,373.7,44.8,3.96,0.0,-0.01,-4.5,8.84,8.86,18.88,14.37
2023-12-15,charco redondo,cadiz,173.5,415.5,81.6,13.83,-0.02,-0.01,-14.28,16.95,16.96,34.45,31.31
2023-12-15,guadalcacin,cadiz,102.9,350.2,800.3,136.12,-0.17,-0.89,-74.0,17.01,17.12,26.26,336.26
2023-12-15,guadarranque,cadiz,152.5,357.5,87.7,25.7,-0.09,-0.48,-13.33,29.3,29.85,44.5,40.26
2023-12-15,los hurones,cadiz,132.9,327.9,135.3,40.73,-0.04,0.09,-26.42,30.1,30.04,49.63,70.85
2023-12-15,zahara - el gastor,cadiz,121.9,287.8,222.7,8.57,0.01,0.25,-32.49,3.85,3.74,18.44,102.31
2023-12-15,arenoso,cordoba,129.4,206.0,167.0,24.58,0.01,0.16,-4.97,14.72,14.62,17.69,39.44
2023-12-15,bembezar,cordoba,185.5,244.3,342.1,36.75,0.02,0.44,-15.84,10.74,10.61,15.37,128.4
2023-12-15,guadalmellato,cordoba,184.7,226.1,146.6,40.78,-0.03,-0.12,-18.64,27.82,27.9,40.53,77.68
2023-12-15,guadanunno,cordoba,217.7,265.6,1.6,1.0,0.0,0.0,-0.49,62.5,62.5,93.13,1.15
2023-12-15,iznajar,cordoba,117.2,215.3,981.1,153.98,0.27,2.12,20.63,15.69,15.48,13.59,301.72
2023-12-15,la brenna,cordoba,180.4,225.4,823.0,91.74,-0.01,0.07,-7.3,11.15,11.14,12.03,156.36
2023-12-15,martin gonzalo,cordoba,227.5,221.6,17.8,2.14,0.0,-0.02,-2.08,12.02,12.13,23.71,8.48
2023-12-15,puente nuevo,cordoba,162.5,230.3,281.7,31.95,0.0,0.06,-9.04,11.34,11.32,14.55,73.46
2023-12-15,retortillo,cordoba,179.7,261.4,61.2,7.6,-0.02,-0.04,-5.79,12.42,12.48,21.88,25.89
2023-12-15,san rafael de navallana,cordoba,205.8,208.0,156.5,62.73,0.01,0.04,11.63,40.08,40.06,32.65,51.69
2023-12-15,sierra boyera,cordoba,183.8,194.6,40.9,1.09,0.0,0.17,-0.73,2.67,2.25,4.45,15.41
2023-12-15,yeguas,cordoba,170.1,198.7,228.7,37.52,0.04,0.43,-13.37,16.41,16.22,22.25,62.59
2023-12-15,beznar,granada,58.0,161.7,52.9,25.09,-0.03,-0.15,-10.84,47.43,47.71,67.92,39.06
2023-12-15,canales,granada,101.1,142.6,70.0,33.19,0.0,0.11,-14.73,47.41,47.26,68.46,48.89
2023-12-15,colomera,granada,101.5,186.6,40.2,3.97,0.0,0.01,0.27,9.88,9.85,9.2,12.89
2023-12-15,cubillas,granada,76.5,135.3,18.7,5.56,0.01,0.05,-0.12,29.73,29.47,30.37,6.99
2023-12-15,el portillo,granada,46.8,148.6,32.9,10.71,0.02,0.35,-7.58,32.55,31.49,55.59,24.14
2023-12-15,francisco abellan,granada,48.7,102.4,58.2,7.88,0.01,0.07,-1.87,13.54,13.42,16.75,20.47
2023-12-15,los bermejales,granada,80.6,218.1,102.6,13.03,0.0,0.08,0.09,12.7,12.62,12.61,38.31
2023-12-15,negratin,granada,51.3,124.7,567.1,116.48,0.18,0.99,8.35,20.54,20.37,19.07,185.35
